0.439: [GC 8192K->928K(31424K), 0.0036200 secs]
1.006: [GC 9120K->1416K(31424K), 0.0065284 secs]
1.400: [GC 9608K->1596K(31424K), 0.0072127 secs]
3.024: [GC 9788K->3457K(39616K), 0.0056722 secs]
3.660: [GC 19841K->5647K(39616K), 0.0249370 secs]
3.932: [GC 22031K->5711K(58496K), 0.0050381 secs]
4.695: [GC 35380K->19692K(58624K), 0.0240599 secs]
4.719: [Full GC 19692K->15804K(71680K), 0.0697410 secs]
6.509: [GC 48572K->22239K(91904K), 0.0096822 secs]
9.959: [GC 72735K->26479K(106624K), 0.0142212 secs]
10.571: [GC 87407K->40754K(106304K), 0.0298340 secs]
10.601: [Full GC 40754K->23422K(121920K), 0.1215696 secs]
14.334: [GC 82110K->29742K(128576K), 0.0111824 secs]
14.716: [GC 87884K->41717K(141952K), 0.0316681 secs]
